Company,URL,IndustryCode,IndustryCodeDescription
Saxon Down Ltd,http://www.saxon-down.com,72,(72)  Computer and Related Activities
Saxoprint Ltd,https://www.saxoprint.co.uk/,22,"(22)  Publishing, Printing and Reproduction of Recorded Media"
Say Architects Ltd,http://www.say-architects.co.uk,74,(74)  Other Business Activities
S Barker Electrical Ltd,https://www.sbarker.co.uk/,45,(45)  Construction
S Beck Plumbing & Heating Ltd,http://www.sbeckplumbingandheating.co.uk,45,(45)  Construction
Sbs Design Ltd,http://www.sbsdesign.co.uk,74,(74)  Other Business Activities
Scabal Uk Ltd,https://www.scabal.com/en/,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Scadeng & Co Ltd,http://www.scadeng.co.uk,74,(74)  Other Business Activities
Ash Scaffolding Uk Ltd,http://www.scaffoldingcentral.co.uk,45,(45)  Construction
Scan-2-Fit Ltd,http://www.scan-2-fit.co.uk,85,(85)  Health and Social Work
Social Care & Education Ltd,http://www.scesocialcare.co.uk,85,(85)  Health and Social Work
Scg Supplies Ltd,http://www.scgsupplies.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
School Travel Planning Ltd,http://www.schooltravelplanning.co.uk,60,(60)  Land Transport; Transport Via Pipelines
Davis Schottlander & Davis Ltd,http://www.schottlander.com,33,"(33)  Mfr of Medical, Precision and Optical Instruments, Watches and Clocks"
Science Services Ltd,http://www.scienceservices.co.uk,74,(74)  Other Business Activities
Scipion Capital Llp,http://www.scipion-capital.com,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Scipion Capital (Uk) Ltd,http://www.scipion-capital.com,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Skipbridges Aggregates,http://www.scoot.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Scope Ltd,https://www.scope.org.uk/,85,(85)  Health and Social Work
Scope,https://www.scope.org.uk/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Scope Ltd,https://www.scope.org.uk/,85,(85)  Health and Social Work
Scope,https://www.scope.org.uk/,85,(85)  Health and Social Work
Scope,https://www.scope.org.uk/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Scope,https://www.scope.org.uk/,85,(85)  Health and Social Work
