Company,URL,IndustryCode,IndustryCodeDescription
Dial-A-Ride,http://southend-connexions.co.uk/,91,(91)  Activities of Membership Organisations Not Elsewhere Classified
Brambles,http://southend-connexions.co.uk/,75,(75)  Public Administration and Defence; Compulsory Social Security
South Lanarkshire Lifestyle,http://www.southlanarkshireleisureandculture.co.uk,92,"(92)  Recreational, Cultural and Sporting Activities"
Kingfisher Building Services Llp,http://www.sovereign-careline.com,85,(85)  Health and Social Work
Sovereign Connections Ltd,http://www.sovereignconnections.co.uk,28,"(28)  Manufacture of Fabricated Metal Products, Except Machinery and Equipment"
Sovereign Scaffolding (South West) Ltd,http://www.sovereignscaffolding.co.uk,45,(45)  Construction
Viewpoint Marketing Services Ltd,http://www.viewpointmarketing.co.uk/,74,(74)  Other Business Activities
Spacetec Ltd,http://www.spacetec.com/,72,(72)  Computer and Related Activities
Blakemore Retail Ltd,https://www.spar.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Tates,https://www.spar.co.uk/,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Spar Colebrook Ltd,https://www.spar.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Spar,https://www.spar.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
H Battani,https://www.spar.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Sparkling Touch Ltd,http://www.sparklingtouch.co.uk,74,(74)  Other Business Activities
C.J. Lang & Son Ltd,https://www.sparscotland.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Specialised Tools & Equipment Ltd,https://www.specialisedtools.co.uk/,35,(35)  Manufacture of Other Transport Equipment
Spectrus Informatics Ltd,http://www.spectrus-group.com,72,(72)  Computer and Related Activities
The George & Dragon - Brakspear Pubs,http://www.speldhurst.com,55,(55)  Hotels and Restaurants
Spelman Developments Ltd,http://www.spelmandevelopments.co.uk,70,(70)  Real Estate Activities
Spencer Fitzgerald Ltd,http://www.spencerfitzgerald.com,74,(74)  Other Business Activities
